Time (s),Message Name,Arbitration ID,Signals
2.904300,MM5_10_TX1_174,0x174,"{'PSIP1': 0.15500000000000114, 'CLU_STAT': 0, 'PSIP1_STAT': 0, 'AY1': 0.020240055000000368, 'MSG_CNT_TX1': 2, 'AY1_STAT': 0, 'CRC_TX1': 226}"
2.904618,MM5_10_TX2_178,0x178,"{'PSIP3': 0.03999999999999204, 'CLU_STAT5': 2, 'PSIP3_STAT': 0, 'CLU_DIAG': 32, 'AX1': 0.038340084999999746, 'MSG_CNT_TX2': 2, 'AX1_STAT': 0, 'CRC_TX2': 236}"
2.904807,MM5_10_TX3_17C,0x17c,"{'AZ': 1.0010832299999999, 'MSG_CNT_TX3': 2, 'AZ_STAT': 0, 'CRC_TX3': 91}"
2.914704,MM5_10_TX1_174,0x174,"{'PSIP1': 0.11000000000001364, 'CLU_STAT': 0, 'PSIP1_STAT': 0, 'AY1': 0.020240055000000368, 'MSG_CNT_TX1': 3, 'AY1_STAT': 0, 'CRC_TX1': 112}"
2.915008,MM5_10_TX2_178,0x178,"{'PSIP3': 0.030000000000001137, 'CLU_STAT5': 3, 'PSIP3_STAT': 0, 'CLU_DIAG': 34, 'AX1': 0.03884994499999994, 'MSG_CNT_TX2': 3, 'AX1_STAT': 0, 'CRC_TX2': 175}"
2.915193,MM5_10_TX3_17C,0x17c,"{'AZ': 1.0035050649999997, 'MSG_CNT_TX3': 3, 'AZ_STAT': 0, 'CRC_TX3': 144}"
2.923848,MM5_10_TX1_174,0x174,"{'PSIP1': 0.03999999999999204, 'CLU_STAT': 0, 'PSIP1_STAT': 0, 'AY1': 0.021642169999999794, 'MSG_CNT_TX1': 4, 'AY1_STAT': 0, 'CRC_TX1': 58}"
2.924143,MM5_10_TX2_178,0x178,"{'PSIP3': 0.014999999999986358, 'CLU_STAT5': 4, 'PSIP3_STAT': 0, 'CLU_DIAG': 33, 'AX1': 0.039359805000000136, 'MSG_CNT_TX2': 4, 'AX1_STAT': 0, 'CRC_TX2': 127}"
2.924346,MM5_10_TX3_17C,0x17c,"{'AZ': 1.0066916900000002, 'MSG_CNT_TX3': 4, 'AZ_STAT': 0, 'CRC_TX3': 91}"
2.934226,MM5_10_TX1_174,0x174,"{'PSIP1': 0.014999999999986358, 'CLU_STAT': 0, 'PSIP1_STAT': 0, 'AY1': 0.023299214999999762, 'MSG_CNT_TX1': 5, 'AY1_STAT': 0, 'CRC_TX1': 143}"
